label	text
SAR	blunts and a deep conversation with an open minded individual
SAR	 hope you stay at chelsea . you are such a great player .
SAR	can not wait to get home
NON	sad bc stuck babysitting while friends are out
SAR	you know when a snail eats smth and you can see it bc their head is semi transparent . i am glad the snail has a snack but that freaks me out
SAR	this is major  omg  !   
NON	i love periods ! the cramps r so much fun i puke everywhere 
SAR	i have so many mutuals that i do not speak to , speak to me , i do not bite
NON	i am writing my learner ' s tomorrow for my drivers and i am not at all nervous .  please please lord do not let me fail 
NON	so , if i lie to the government , it ' s a felony . but if they lie to me its politics ?
SAR	even when it ' s not hot down here it ' s still hot
SAR	but watching you stand alone , all of my doubt suddenly goes away somehow .
NON	 monday motivation  cycling in the rain how to survive it
SAR	it has absolutely nothing to do with innate character .
NON	literally folded half a load of laundry in the four hours i have been up and about . 
NON	ygs  tomorrow !  so excited to wake up  once
NON	i love dance class .  
NON	 so glad  my boyfriend thinks the only point of twitter is to tweet every dumb thing i say 
NON	 right ? it circled for a good half hour but then went on its merry way ! too late for me to go back to sleep , of course ! 
SAR	sometimes you gotta drop a  on him so you know its real for the one time
NON	if i stay in bed ill be warm if i get in the shower ill also be warm but the distance between the bed and the shower no that is not warm
SAR	oh the smell of a freshly killed week 
SAR	give people a bit of your heart rather than a piece of your mind .
NON	 i am actually legit upset about this lmao oh well .  
SAR	i am not a weird creepy cougar . i am a tutor . i am a professional mentor . i am boring 
SAR	thank you  and professor michael sandel for allowing me to answer your questions and share with students
SAR	super fun night with  and  . thank u for choosing ottawa for the last night of your tour .
SAR	 it ' s very sad that this country is becoming as equal of a country as a third world . because of idiots that have no respect for life
SAR	my mom said that hayes grier kid is cute you should date him someone call  im
SAR	ta ta 3 a how ratan rebuilt the house that  jrd  left him  ? p   respect 
NON	praying that somehow school would get canceled tomorrow  stressed 
NON	i do not expect a guy to be on his phone textin me  /  but i do not want a guy that only talks to me for  minutes a day
NON	imagine alicia keys complaining in a super market  this milk is expired  
SAR	does everyone else ' s stupid android auto correct change words like ' then ' for ' them ' and ' our ' for ' out ' ? skynet driving me to suicide
SAR	i swear i have the weirdest bf ever 
NON	happy  months together  lol 
NON	 you are going to be a great president ! i hope that one day , those who oppose you , will one day thank you .
SAR	taylor swift top  songs  . we are never ever getting back together  . you belong with me  . back to december .  . style  . never grow up
SAR	  idk why people are getting offended by this
SAR	i do not know . i do not care . pushing past sam and walking into bobbys , my mind thinking about  next time i see her . she
SAR	this totally topped off my week '
NON	not being able to breathe is amazing !  allergies 
NON	dear arkansas , could you possible make it even hotter ?
SAR	this is calvin . he is a luxembourgian mayo . having issues with truck . has it under control tho .  /  responsible af
SAR	i love the saved by the bell episode where zack jerks off mr . belding to get out of detention .
SAR	 so fucking pissed off  straight failed my physics test
NON	rt dear maths , i am sick tired of finding your ' x ' .  just accept the fact that she is gone move on dude 
NON	things that will always sound sarcastic good for you thanks a lot yeah right nice to know wow way to go totally ok buddy
NON	love how people are mad at cam newton for celebrating after scoring a touchdown , but greg hardy is not being talked about after beating .
NON	my stress stresses me out to the point where i am too stressed to deal with my stress
NON	i still catch myself feeling sad about things that do not matter anymore .
SAR	happy birthday to one of my day  ' s hope you have a lovely day , see you when you get home , love you lots x 
SAR	if it is not party you want then fair enough you have to leave , like many did over blair . no shame , better than bitching 
NON	but yay because my schedule is cool and i only have tuesday and thursday classes
NON	i am gonna complete the assignments , project , prepare for the test tomorrow crush hi stupid college , who cares i am a thug
SAR	 still waiting on the day when i log in and scream my lungs out seeing ur profile saying follows you 
SAR	   ive got enuff of those balls flying ard everywhere i swear this better be true 
SAR	kelly is my favorite customer . i love her lol
SAR	happy birthday bestfriend  ! can not wait to hit first ave with you soon !
SAR	lauren ashton ' s sister posted a snap with  how did we end up here   dvd   mtv stars   seconds of summer
NON	work where more accomplished people tell us what to do . internet where you tell more accomplished people what to do .
NON	mum cannot say i do not do anything round house when i am home alone , i have done  sets of washing up and now clothes .  housewife in training 
SAR	drew is still fuckin cute with his broke ass glasses fuck this kid i am out
NON	oh youve been on your period for  months ?  lol  ok wait another month before we can get you into the doctors .  have fun  my doctor .
SAR	tyson fury is  regretting this fight can not wait to get home saturday and watch him kiss the canvas
SAR	wow , this android phone is stupid cheap the next web the next webwow , this android phone is stupid .   android 
NON	 funny the founder of the birther movement trying to act like he ' s not racist  trump birther 
SAR	learn to be happy for no reason
NON	when you care more about keeping friendships going than your friends   
NON	last  hour lab of the semester yay 
SAR	hey fuck you i got a hell of a deal on this piece of shit laptop only  and all i had to do was sleep outside for  days
SAR	have u ever accidentally opened the wrong cabinet in ur kitchen and it ' s just like wtf how long have i lived
NON	deletes every sad tweet sorry i forgot who the fuck i was for a second
NON	if you ever want to hate yourself , click the  button on your facebook timeline and read what you posted .
SAR	spent hours in front of my school related stuff only to learn nothing
NON	i love  when people are rude to me .
NON	rt we are talking about peace on global level but i can not even find pepsi and coke in the same restaurant here
SAR	 onelove  to all our followers people like u make this  world  a better place !  progressive   filmmakers   harmony   creativity   success 
SAR	 new drinking game take a shot when they say western conference finals during that clip lol
NON	i was just sitting down to do hw and i suddenly had an allergic reaction to something so now my arms and legs are covered in hives   
NON	i wish i knew more spanish . this beautiful hispanic girl just hit on me and i replied , me llamo es dora . let us go exploring !
NON	 must have forgotten my hashtag
SAR	pray that i pass this ap stats test
SAR	 just in  mass shooting in new orleans ' 9 th ward up to  people hurt after shooters fire into crowd of hundreds
SAR	i hate those 1 d stans at my school that bullied me bc im the only belieber in my class and they said purpose is flop how about now bitches
SAR	 fuck off im tired of seeing ur shitty ads on my twitter . ur face looks like a wrinkly ass dick shut your mouth
SAR	woke up to from a nightmare where you the love of your life are not on the best terms and u abort his baby and it ' s just ok  scandal 
NON	i want a job at starbucks because i am going to spell everyone ' s name wrong so they can not instagram their cups .
SAR	 just eat yummy fruits , drink lots of water / water w lemon and dance / exercise ! do not not eat boo , do not do that to your body 
SAR	 so nice of morons to come to your twitter account and spread their ignorant shit all over it , yeah ?
NON	sure looked like the puck flew out of play when bieksa ' s stick exploded . a replay of that in slow mo would be great
SAR	finally saw  and  can not wait for next week  the walking dead   excited   can t wait   awesome   live   obsessed 
SAR	i am up shiting early asf i never shit in the a . m          dawg .
SAR	i bought me a iron man  usb  today . yay !
NON	we are not really sure what ' s going on here , but it looks like fun !  throwback thursday 
