label	text
SAR	sh  .  nobody move .  they are playing a  non  electronic game together .   nicely  . !  
SAR	      m    
NON	someone had a great sense of humor  they gave me tcu colors for christmas  
NON	 corpsman  wisdom i had a head cold , so i took my own advice motrin , hydrated and changed my socks . cold eliminated  navy 
SAR	i need to do something legendary this winter break
NON	when that bish defollows you  disney   belle   more followers please  
NON	 the person who wrote that is clearly a bit of a tit
NON	mid speech christmas lacrosse ball  flattering  grand cafe 
SAR	its not that so much as his lies and deceit ,     
NON	such a great damn day .
SAR	you guys seriously need to try this game   banana bonanza 
NON	first final of the day done , only three more to go .  great scheduling   in case you can t tell 
NON	 to watch re blues ? chelsea ' s of course
NON	well .  that was a nice text to wake up to .
NON	that moment when the ad plays flawlessly but the video keeps buffering  you tube  
NON	 nice , lazy search in google scholar could not find a free copy openaccess for the win
NON	no response always seems to attract response . the !  aint nobody got time for that 
NON	too late , thrown the  ps 4  out of the window last night cus i could not play 
NON	cool to know i have people i can talk to when having a shit night .
NON	woke up with my foot the size of a balloon , that ' s just what i needed .   ouch 
SAR	a deal was negotiated between  and  gtaa  . that deal was is hidden and built into the pricing of  upx  tix . why all the secrecy ?  t opoli 
SAR	 i do  or  times a week  lol i can not do  
SAR	do you use instagram ? well get  free followers at  no . 
SAR	 unfortunately not , hey . daddy did not think his daughter ' d be into gaming or  fifa  . youraveragedaddysgirl
NON	 i do not think your caramel frappe is salty enough .  mc yuck   lost sale 
NON	thank god that the wait for an appointment is only until february .
SAR	listen to paranard  my  mix by polosweets  np  on  sound cloud  
NON	 ready for jeb and first female  potus 
NON	 does it imply you can get off facebook using crack or cocaine ? .
SAR	 lebanon   detainee   is   isis  leader ' s  wife   iraqi   official   baghdad   an iraqi official denied wednesday .  
NON	loving how dominant the  sec  is  pause  . 
SAR	 uk artist only     present .  uk untold story   mix tape   get on   ducmg 
SAR	you have set yourself some target to achieve there like love  hot  or 
SAR	 nypd  did comment  this or provide its own internal  statistics  w /  involved  s and the info has not been given  the  fbi  since  .
SAR	 mtv stars  justin bieber  net   fast 
SAR	 absolutely shocking that the lamestream media has not picked up on this  media bias   
SAR	 thanks babe , hope you have a good one too   
NON	 / /  lol  .  apparently i leave a big impression .
SAR	come on  orion launch  it ' s  in australia . us down under  geeks  need some  sleep
SAR	 obama and hillary convinced ukraine that they would protect them if they essentially disarm . need to keep at least one promise .
NON	hmm . training for encouraging motivational change tonight . do not know if i can be bothered to go .  burnout 
SAR	today is just not my day 
SAR	 tbt  dedicated to those days we  dont  want to throwback to . like this evil cold november day at .  
SAR	hope better  hope   tokyo  by nickill  
SAR	 how do you score on someone ?
NON	imma kill all you sobs ! jk  lol   red eye 
NON	lots if love for  miranda 
SAR	    true that ! we just keep giving them  with no return  charity 
SAR	that awkward moment when you plane your whole day around your golf class , and it gets cancelled !  stupid rain 
SAR	is your internet a bit slow today ? blame a thick , wet , cable 
SAR	 part   article           uexpected  
SAR	  least i could do for barging into your convo !
SAR	 sorry   sorry  i always do this .   can t   help   it   i m   an   asshole   like   that  
SAR	had no sleep and have got school now happy 
NON	oh we get to see the queens garden on  itv  after she addresses the nation . just what i always wanted 
SAR	i have officially surrounded myself with the most amazing people 
SAR	oh this is back in  advanced warfare    just cod thing  
SAR	 fact we have a liberal school system . yes i am conservative . no that does not make me racist . before you accuse me of that
NON	 autoincorrect strikes again . .  than it ' s worth .
SAR	 shame on jacksonville   jags   and   shadkhan  .  do you think that  police  phobic  stooges  l .  
NON	 because , progress .   an eye for an eye  ,  peshawar attack   taliban  .  surely this will bring peace and justice ?
SAR	   for serie a ? is this for real ?
SAR	 happy birthday becca  . i just looked through  all  of my pictures which you know is a ton and found my .  
SAR	what is the most important thing that you should do today ? breathe . 
SAR	a bad idea ! 
SAR	 no , not negation . sometimes , peace is achieved in a way that you accept to be content by a constant searing .
NON	what a good time to start voting again  best new artist  fifth harmony
NON	  psa  hey jay , i tuned in when u said why all the cocaine talk today .  after tweeting coke joke saw it ' s escobar ' s 6 5 th
SAR	it ' s all about twitter a clue
NON	 what a way to start the new year
SAR	my dorm is actually really creepy when i am the only one in it .  
NON	did  lynton crosby  invent  cameron must go  ? puerile attacks on  in rw press provoked  weback ed  which led to  cameron must go 
SAR	country music and photo editing , my type of morning   
SAR	 nope . doing everything wrong . cold . hot . hot . cold . gear seems ok but as today dipped to  prob spoke too soon .  o rings 
NON	i just love working on christmas and spending it alone  hours away from my family !
SAR	is the name of the game . 
SAR	thank you  . requiring facebook to participate in twitch chat is really a good way to push away interested players .
NON	 fan freakin tastic ! can not wait
NON	if you wanna look like a badass , have drama on social media
NON	what a great christmas . 
SAR	it could be a jihadist ? hello !  it is jihadist ' s radical islamists !  terrorists  !  sydney siege   daesh 
NON	i love being on hold . especially when the music is so great .
SAR	  i accept him the way he is . 
SAR	 he ' s been half paced all season , henderson would be a bigger loss
SAR	 i guess not . stop insulting me .
SAR	 miss u lots and lots like jelly tots
SAR	 liberal  /  leftists   use   racist  /  sexist   label   for   dislikes   msnbc  host ed schultz said  racist  to  support  demand for  minimum   wage   sad 
SAR	so excited for a whole new episode  rhoa  love this show ! 
NON	oversleeping is the best  .
NON	first day of christmas shopping tomorrow . can not wait .
SAR	    i am off to visit great nephew very ill , only  fair
NON	 the lineup is full of goals and offensive intention  lfc 
NON	powerful picture taken by a  protester  the  night  before  christmas  . the is real . 
NON	remember that one time i worked both jobs while sick and it didnt suck at all . 
SAR	free chocolates and free delivery with all flower orders from bunches . 
NON	 nice to see you admit your errors slightly different from your earlier stats for  ! 
NON	 nah , i do not think he says ' fck  ' enough on that album !  angry man   old school 
NON	look really awake and like i have made an effort today
NON	 did your python tweeter send that ?
SAR	my grandpa just gave me a credit card for christmas .  he has no idea . lol
NON	.   keeping the big channels big , and the little channels irrelevant since  .  good job 
SAR	how could he kill is best friend  a  true  friend 
SAR	  yeah this happens to me every time i want to like a video 
NON	oh how i missed middle school drama
SAR	  you drive a ferrari , right ? you being a beautiful clever woman ?
SAR	chillax bitches .  why is my face so squished .  fireball  
SAR	do i .  do i want to know what he has in the bag ?  cthulhu   christmas   lovecraft   santa claus   funny  
NON	 no , voting somebody in because they are from latvia is way more important than voting for the best players .
NON	i was going  post my opinions on  obama   cuba  but i will save it , till after his  speech  .  peacemaker 
NON	bush govt to be prosecuted under geneva convention for torture after  cia  methods and vp admission exposed . 
SAR	 is this a new / recent release ?
NON	jihadi killers in  ottawa   sidney  and  peshawar  are rogue acts while fratboy uva rapists are symbolic of deeper societal flaws .   tcot 
SAR	 no one really says that
SAR	 robert is handsome ugly  rdj  i love you   5 me  ga  btw  tomtom i love u too
NON	what a lovely morning ,  delhi  government bans  uber  looks like rape will stop in delhi now  are they serious 
SAR	  smart phone  can pay you to post !  iphone   samsung   s 4   s 3   ipad   tablet   mlm  start 
SAR	goodie bags for 2 nd grade are done !  whats next  ?
SAR	pretty sure i just sat behind  in the mcdonald ' s drive through and peeked to see movie what was playing 
SAR	nobody can deny this .  career   gita  such a  profound  word . 
SAR	 i also support instantly murdering  year olds with fake plastic guns in public parks . 
SAR	i do not understand why anyone watches these bowl games . they do not matter . great , a team outside the top  dominated .  don t care 
NON	 those who failed to develop hair on their bald hear are talking abr development
SAR	i promote  edm  why would i add jazz ? some ppl will do anything 2 b popular  so obvious   wtf   attention whore   keep it real  
NON	jordan fan here  not a hater . 
SAR	there is only  race ,  human  so i dont look at things by the myth of races  
NON	i picked a great night to not want to sleep .
SAR	lol ! i m enjoying it   talks   crazyness   she never left  sleepy !  
SAR	 bbc   news   denmark   challenges   russia  and  canada   over   north   pole  . 
SAR	 but still bothers me that i see now follow up report .
SAR	 apple jd ? sure
NON	first day skiing  killed it   i was shit   tignes   season life  
NON	thank u to all u beautiful ppl that talk extra loud when i am trying to watch tv i love you guys so much  srslyof al lrooms 
NON	myself and  having to walk to civic offices to get bus muttering to ourselves would not you think they ' d pay their water
NON	sub is making class go by so slow that i feel like i am losing brain cells .  substitute   moveit along 
SAR	everytime i try to like chris brown he does something to royally eff that up . dude is a chronic loose cannon  chris brown   karrueche 
SAR	 bra   fitting   guide   how   diy   crafts  please rt  
NON	of course the day that it ' s a monsoon outside i have classes on and off from  am to  pm  i love life 
SAR	 you are sleeping ? wake up the next ac game has been leaked !   ac victory  
SAR	you are the one  lying      
SAR	 not hating . me and  were just awesome .
NON	 latergram  with thegoldcoin . classes done , research is not .  grad school   basic   blessed  .  
SAR	 aap  said will declare ak candidate in last list but declared it before . this issue affecting india ' s  gdp  is termed as u turn by  bjp   ak 4 delhi 
NON	last day of school it was so much fun but not much people came . what a shocker
SAR	  you are familiar with matt bubsy ,  then  .
NON	everyone competing against each other for privatized goods is way better than working together as a whole to advance humanity .
SAR	going to my class  fuck you  important
NON	just walked in to  starbucks  and asked for a tall blonde hahahaha
NON	merry christmas love instagram    gifts   spam 
NON	internet got me like   still alive  
NON	  really ? !  this is absolutely below the belt , especially towards tom boon .   deep respect  . 
SAR	filmmaker and writer nicole franklin is on twitter  . pls follow .  e convo   film   director 
NON	shoutout to my mom for being hella supportive of me
NON	i guess paul did not have buns , hon .  eaten alive  
SAR	the ultimate how to book .  
NON	of course i am not nervous , i am hyperventilating for fun .
SAR	 happy new year , da ! thanks sobra for this year  
NON	duale seeking ' protection to be heard ' when the proposed security bill will trample the basic rights of his pple and their freedom
SAR	it  has  been  seen  w  . monstermmorpg . com since . parados by  monster mmorpg   be an 
NON	just submitted my final paper of the semester . it ' s only a make it or break it on whether i pass the class . no big deal .  
NON	oh this will end well . rt  military style tech finds way into school district safety measures 
SAR	 what do you order at kona grill ? for fast food sushi , that place is delish .
NON	i got tampons ! 
NON	done to much again 
SAR	  it ' s in my priory contract to wear those . hugely popular with priory ultras  does   count   x  
SAR	currently a bus wanker . i hate people   stinks   go bona stick   dickheads 
SAR	is khallilah henriques  n   all there ? she mostly sounds blonde , but this morning confirmed it  ignorant  on race relations  articulate  minority .
SAR	happened in my culture competency class .  i could not continue to argue with ignorance 
NON	just a  article re a robot arm you can control with your mind . meh . nothing huge .  science  
NON	get on the work bus , driver turns his music on and the first song on is ' another day in paradise '
NON	love that i can count on people .
SAR	why must i pay more for car insurance when i do not have to ? do not get ripped off trust goskippy 
SAR	responsibility the ability to respond to control yourself and be in charge of your life
SAR	just seen the result what the actual .   saints fc 
NON	 dna  from richard  i   has thrown up a surprise evidence of infidelity in his family tree .  well i am  shocked  .
SAR	alaska  hip hop  flowtronics what ' s this world coming to rizzle p , boone pratt , token r .   via > 
NON	yea i love it when  is already throwing a tantrum upon waking up . totally . awesome .  
NON	makes perfect sense to get mad about something that happen  years ago .
SAR	  money  church   app pays  you ! see  go  
SAR	twitter keeps insisting i follow someone who i rather . . 
SAR	morgan just asked me if i wanted to play a game with him on his xbox . usually i can not even look at it .
NON	 they can be assured you will recommend them !
NON	wow thanks for the good vibes right before my exam , parents .
SAR	what am i doing with my life
SAR	day ninth december to have a pint at the boars head really still in bed  
NON	happy stfx day ! lost my  xring  in '  . it was found  mo ' s later glistening on the 1 8 th green of lost creek golf club .  x ring miracle 
SAR	  wow . catch up with the news . false intelligence found to be not false . see wikileaks and other sources .
NON	 sky news says he died like as if he dropped dead in hospital lol real honest reporting
NON	could not agree more ! rt  nothing makes me feel more special than receiving an automated dm .
SAR	nowadays you can be everything somebody ever wanted and still get played mxm men all
NON	mt darth vader is polling higher than all potential  us presidential candidates  you surprised ?
SAR	it ' s not possible to have enough time
SAR	solid leg day  felt great and hit my max for  . can not wait to squat  !
NON	love being made fun of
NON	just great when you are mobile bill arrives by text
NON	sorkin identified the ' attack on free speech ' from sony hackers before attacking the media for publishing the leaks  sony hack 
SAR	  ink rivals  ok , we all know cleen is going to win , lets just end it . not exciting .  amen to that 
NON	have not talked to you in days . that ' s cool i guess .
NON	wallahi speaking to an unbeliever is bid ' a , let alone wishing him / her a happy celebration .
SAR	   we agree  nhsengland  needs to  publish   aand e  figures over  holiday period  from  jeremy hunt 
NON	where is the  torture report  from showtime ' s homeland ?
NON	 bitch   bitchy   badass   lol   laughing   jokes   fun time   funny   fun   ecards  .  
SAR	 i just did it . what ' s the prize ?
SAR	 has passed  as the world ' s most valuable  startup  !  growth   nyc  
SAR	i have to say .  i am really excited about brendan fraser ' s birthday tomorrow .  brendan fraser birthday bash 
NON	lunch today .  fake lobster   lifestyle of the rich and famous   world of swede  
SAR	in scotland the little country that ' s attached to the north of england    
NON	i just watched a  fitbit  commercial followed my an  ihop  commercial advertising a belgian chocolate mousse crepe .
NON	saying no to them is the first way you say yes to yourself .
NON	balak to balaam come now , curse this people for me .  for i know that he whom you bless is blessed , and he whom you curse is cursed .
SAR	  osu  opponents record much better than baylor . outright conf champs . wins against  tms with winning records baylor 
SAR	a bad game last night . way to go packers ! 
NON	 the good old days !
NON	 great story about the student trying to get the teacher fired !   moron   story was stupid 
SAR	 alma jmo u a  participating in the 4 th  csr  forum  lebanon   together we grow  for profit  microfinance   supporting  .  
NON	 half of the testing group was very helpful today .
SAR	main issue with the walking dead you forget to breathe when you are watching . so bloody good  walking dead 
SAR	  i can sign you in as my guest . 
NON	jeez i wish the government paid for my food .  eb tbitches 
SAR	 as the only black listener to the  show .  love having you on it !   race wars 
SAR	hey everyone .  i want this as a christmas gift  can you send me one ?   gtx 980  
SAR	 kisses you cheek that ' s enough . im not a love bot .
SAR	change is a process , an event dafuq you thinking
NON	honking at me whilst you drive past so romantic , it makes me want to trace you through your number plate and be with you forever
NON	zuckerberg says he wears a grey t shirt everyday because he does not want to waste time on things that do not matter he runs facebook
NON	such a good lie in
NON	   hahahahahahahhahaha ! i was some one and it happened to be ya ! !
SAR	the counter argument .  rt  if  osu  lost last night , baylor would be in and we ' d all be talking about benefits of no big  champ .
SAR	check out my new post ! myfairdaily  things i have been loving lately   l bloggers   holidays   my fair daily   favorites 
SAR	 you were my cup of tea , but you were a total ass so i switched to coffee .    
SAR	  kick raiola out of the league .  scumbag   repeat offender 
NON	finding it quite funny that gillette soccer saturday on sky are complaining that there are not enough games on at  saturday
NON	spiky popularity of the name spike in the u . s . rt  baby name .  data viz  source 
SAR	   he  did not know that before putting him there  they  all reck our country  pdp  clans do not deserve another day even months
NON	lol , who throws middle fingers up in pictures anymore ? oh , you are bad .
NON	 to the officer ' s defense .  that was a very scary looking phone .  black lives matter 
SAR	oh noes ! the night train berlin malmö runs only during summer !  and me who was planning a long comfortable train trip 
SAR	if we could stop losing planes that would be great .
SAR	 to   our   countries   special   dedication   to   m a   syrian   friends   you  ' re  alone   insta listen   by   heart   voice  
NON	many of the best ideas come from having fingers too fat for your keyboard .  nimble   agile 
SAR	   obama , like difi with  torture report  is using the ' scorched earth method .  tcot 
SAR	image via we heart it   feelings   people   telling  
SAR	it ' s funny to think that there are literally books out there for whatever you want to do in life be a .  
NON	i love when people leave their smelly shoes in my car . it makes my car smell great !
SAR	apparently it ' s hang up on ashley day 
SAR	 it will be weird now without the christmas music !    . but yay !   happy christmas sammie  
SAR	indian urdu daily advocates murdering apostates after extremist hindu groups convert muslims the first .  
SAR	had to take a  patio pics  snow falling still . this was totally clear when i went to sleep .  wcco  
NON	lmao i may be drunk .  but my level of maturity is at it ' s all time high lmfaoo .   
SAR	 so pissed at 2 k rn . 
NON	stupid  doctors  visits is gonna bury me !  now that ' s
SAR	i can be mad at you for a matter of  min then i can not stand not talking to you .
SAR	 thank you for staying tom !
SAR	   first line is correct !  can not say about the latter one !  
SAR	bad idea when you climb on the mountain 
SAR	lol at people saying they are turning  this year when did i start following kids  sorry 
SAR	each snooze button is more tempting than the last  
NON	    this has been my point all along , that tc is proving to be  e cigs  best advertiser to teens .
NON	  i smashed my samsung galaxy running back to the car trying to avoid a parking ticket
NON	2 a tl shows lester ' s  /  deal ' s a hit boston wish all announcements were made when parties involved least coherent
SAR	today was a very good day in iceland .
NON	can not wait for my boyfriend to come home and kick my butt into shape .    
NON	happy monday ! hate mondays .
NON	wow .   shocker  rt  dick cheney on  cia  torture i ' d do it again in a minute  
NON	losing the keys to your car before your have to drive yourself to the airport to catch a flight is awesome .
SAR	 street lights on during the day in clayville , olifantsfontein . this should not be happening with  load shedding  problems . on
SAR	 that ' s where you are wrong , i can just watch his films and not follow him on twitter .
SAR	 yeah no i am still laughing . it ' s not even that funny and i am still laughing
SAR	 blount also out . you would think this could be the game that white gets some action . i guess not .
SAR	 have you heard back yet ? ! 
SAR	    tweeted this at me yesterday
SAR	oh , and lets not forget this      
NON	to be fair , deblasio only asked  black lives matter  folks to stop protesting until the post funerals . so police protesting him is cool .
NON	how  dare  somebody exercise their freedom to protest and freedom of speech .
NON	love it when i have a  minute wait on  and as i reach no wait it knocks me back to  more minutes . fantastic .
NON	they decided  change king ' s trunks  gold , his logos  green and his tights to blue . how creative . .
SAR	today stats  followers ,  unfollowers and followed  people via 
NON	a woman wearing a t shirt on  that says act like a lady . 
NON	how in the world will i start my day once kaitlyn gets tired of  frozen  ?  idontwanttobuildasnowman   mommy problems   mom my life 
SAR	 where ' s me boots happy
SAR	 will tweet you when i have got it back up and running .
SAR	check out >  ¢ â ¬ â ¦ music that makes you feel something .  london   uk 
SAR	new shoes . kinda in love with an inanimate object . 
NON	 doubt i was the first to block you . but you pretend good .     
NON	that ' s nice .
NON	hmm .  scott mitchell v tony o ' shea or phil taylor v raymond van barneveld .  what a difficult decision !   darts world championship   pdc 
SAR	lol my mom can not text and talk at the same time 
SAR	happy new year all my twitter people . hope you have a happy and successful  ! lots of love   2015 season   2014 sucks 
SAR	 palestinian   authority   abbas   trades   stalemate  for  confrontation  in  icc   move  .  via 
NON	wow i just can not wait for all the  new year new me  posts   
NON	 guess they did not get the memo reg non nuclear baltic sea
NON	 like a group of unsuccessful idiots who can not even manage to scrounge up a quarter ? that ' s pretty cool i guess chris
NON	look good feel good !  team no sleep   can t open eyes 
SAR	on my lunch break so sleepy 
NON	watching alison jackson ' s portfolio of work  euro best 2014  seems she ' s cracked it . celebrity stunt  viral 
SAR	 happy  young chap ashamed of my god and my savior  spreading  the word of god n life of christ  successful  entrepreneur  mind of god 
SAR	 and what will that achieve ? seriously ? to be fired . all the guys who had the balls to call them out are gone . 
SAR	 wtf where did you go
SAR	 untrue its cutler ' s fault
NON	     nice to see the ambulance service is so important to  our  mps
NON	hehehehe    what a shame
NON	s / o to the bengals for sucking it up yesterday . totally made it worth me staying up  hours yesterday and coming to work this am .
SAR	find  one  local pd that reported an  drop      
SAR	 sunday funday   my love   mermaid love   new year 2015  rockefeller center 
SAR	that moment when you have to go to the bathroom but the cleaning lady is in there .   still holding it 
SAR	  i just want learning from this group . development . and to turn green , bass , and thornton into assets .
